EmployeeID,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
20,26,Travel_Rarely,4117,Sales,29,4,Marketing,1,20,3,Female,229,1,4,Sales Representative,4,Single,57639,19675,0,Y,Yes,11,2,1,80,0,1,1,2,7,3,0,2,No
21,60,Travel_Frequently,4947,Sales,24,1,Medical,1,21,3,Female,155,1,3,Sales Representative,4,Divorced,157841,14298,6,Y,No,22,2,1,80,4,40,1,3,3,0,2,0,No
22,20,Travel_Rarely,4368,Research & Development,16,1,Technical Degree,1,22,1,Female,335,2,4,Research Director,3,Single,149655,19096,4,Y,No,19,4,4,80,3,37,2,3,1,1,0,0,Yes
23,33,Travel_Rarely,1744,Sales,16,2,Marketing,1,23,3,Female,274,3,5,Sales Representative,4,Divorced,159382,11052,8,Y,No,0,2,1,80,1,26,3,1,14,8,12,3,No
24,46,Travel_Rarely,2938,Research & Development,18,5,Marketing,1,24,2,Female,381,3,3,Manager,4,Divorced,34393,16868,4,Y,No,9,3,2,80,0,12,2,3,0,0,0,0,No
25,35,Non-Travel,2238,Sales,1,5,Medical,1,25,2,Female,123,1,5,Sales Representative,1,Married,166445,6137,7,Y,No,3,1,3,80,3,30,3,3,16,10,5,1,No
26,25,Travel_Rarely,1348,Sales,8,1,Other,1,26,2,Female,215,4,4,Sales Representative,1,Married,115043,11743,9,Y,No,13,3,1,80,4,6,6,2,1,0,0,1,No
27,33,Travel_Rarely,2192,Research & Development,2,2,Marketing,1,27,4,Female,332,1,2,Laboratory Technician,1,Married,154701,8482,6,Y,Yes,3,2,2,80,2,9,0,4,5,0,1,2,No
28,36,Travel_Rarely,2793,Research & Development,3,5,Life Sciences,1,28,4,Female,265,3,1,Research Director,3,Single,42598,9501,9,Y,No,18,1,3,80,4,2,6,3,14,12,2,7,No
29,35,Travel_Rarely,2315,Research & Development,22,1,Medical,1,29,1,Female,310,4,3,Manager,4,Divorced,163440,15122,8,Y,No,1,4,1,80,2,16,2,4,5,0,3,4,No
30,60,Non-Travel,1833,Research & Development,9,5,Medical,1,30,3,Female,324,4,1,Research Scientist,2,Single,131104,9841,2,Y,No,9,1,4,80,0,14,6,4,17,3,14,3,No
31,49,Travel_Frequently,1592,Research & Development,13,2,Other,1,31,4,Male,135,3,4,Laboratory Technician,4,Married,143397,18637,4,Y,No,0,3,3,80,4,37,5,4,9,7,2,7,No
32,39,Non-Travel,4506,Research & Development,25,4,Life Sciences,1,32,2,Female,342,4,4,Healthcare Representative,3,Divorced,152456,6984,7,Y,No,1,2,3,80,0,28,0,2,17,16,14,0,No
33,59,Travel_Rarely,4491,Research & Development,22,5,Technical Degree,1,33,3,Female,349,1,5,Manager,3,Single,29615,9692,4,Y,No,7,1,4,80,0,40,5,4,4,0,3,1,No
34,20,Travel_Rarely,3318,Research & Development,22,2,Medical,1,34,4,Male,140,4,5,Research Scientist,3,Divorced,24711,9891,7,Y,No,18,2,2,80,3,40,2,2,1,1,1,0,Yes
35,36,Travel_Rarely,4462,Research & Development,10,2,Technical Degree,1,35,3,Female,154,2,4,Manager,3,Divorced,51412,13762,9,Y,Yes,9,3,1,80,3,17,0,4,17,1,15,9,No
36,56,Travel_Frequently,1161,Research & Development,10,4,Life Sciences,1,36,2,Female,167,1,3,Laboratory Technician,3,Married,67410,15615,2,Y,No,6,2,3,80,4,32,2,1,11,2,4,7,No
37,39,Travel_Frequently,2498,Human Resources,3,4,Life Sciences,1,37,2,Female,374,1,4,Manager,2,Married,132770,10590,9,Y,No,12,3,1,80,1,30,0,4,3,2,1,0,No
38,37,Non-Travel,4634,Research & Development,18,2,Technical Degree,1,38,3,Female,289,4,5,Manager,1,Divorced,40585,7063,6,Y,Yes,20,1,4,80,4,26,2,4,13,0,11,5,Yes
39,33,Non-Travel,4965,Sales,4,4,Life Sciences,1,39,3,Male,110,1,3,Sales Representative,3,Single,36045,6126,9,Y,No,6,1,2,80,4,13,6,1,11,3,5,2,No
40,18,Non-Travel,1539,Research & Development,1,3,Medical,1,40,2,Female,108,2,3,Research Director,3,Single,47929,6153,6,Y,No,16,1,1,80,3,28,6,1,0,1,0,1,No
41,20,Travel_Rarely,2746,Research & Development,22,1,Technical Degree,1,41,1,Female,137,1,3,Research Director,4,Divorced,182727,6860,1,Y,No,4,3,3,80,3,38,4,1,2,1,1,2,No
42,25,Travel_Rarely,2703,Research & Development,24,1,Marketing,1,42,4,Female,260,3,3,Research Scientist,2,Single,122740,17540,1,Y,No,2,1,1,80,3,6,5,3,3,2,1,0,No
43,53,Travel_Frequently,2279,Research & Development,12,1,Other,1,43,4,Male,179,4,2,Research Director,3,Single,185639,13472,8,Y,Yes,11,1,3,80,4,14,6,1,10,6,8,9,No
44,19,Non-Travel,3319,Research & Development,22,4,Life Sciences,1,44,3,Male,115,1,5,Research Director,3,Single,17589,14327,6,Y,Yes,14,3,2,80,2,19,5,3,1,1,0,0,Yes
45,21,Non-Travel,4092,Sales,17,1,Marketing,1,45,4,Female,156,3,5,Manager,4,Married,81330,19266,4,Y,No,1,2,4,80,4,3,0,4,0,0,1,0,No
46,36,Travel_Frequently,1942,Research & Development,17,5,Human Resources,1,46,2,Female,136,4,1,Healthcare Representative,4,Married,41453,2614,7,Y,Yes,2,3,4,80,4,25,5,2,10,10,6,4,No
47,38,Non-Travel,2784,Sales,19,4,Other,1,47,1,Male,302,3,3,Sales Executive,3,Single,172037,12913,2,Y,No,2,1,2,80,2,22,5,4,5,5,1,1,No
48,30,Travel_Frequently,4112,Sales,19,4,Human Resources,1,48,2,Female,261,2,4,Sales Representative,1,Single,167915,17365,7,Y,Yes,20,3,3,80,4,3,2,4,2,2,0,1,No
49,21,Travel_Frequently,4669,Research & Development,2,4,Other,1,49,4,Male,264,4,5,Research Scientist,1,Single,85255,4027,7,Y,Yes,3,3,1,80,4,11,0,4,2,0,2,1,No
50,41,Non-Travel,3285,Human Resources,22,4,Marketing,1,50,1,Female,176,3,1,Human Resources,3,Divorced,84158,6634,5,Y,No,9,4,2,80,4,5,2,3,11,8,6,10,Yes
51,60,Non-Travel,4895,Research & Development,7,3,Technical Degree,1,51,3,Male,215,2,2,Laboratory Technician,4,Single,34498,11692,1,Y,No,16,1,3,80,4,8,4,1,16,12,4,5,No
52,57,Travel_Frequently,2167,Sales,25,4,Medical,1,52,3,Male,258,4,2,Manager,4,Married,199053,16437,7,Y,No,24,3,4,80,4,33,3,2,5,1,1,4,No
53,21,Non-Travel,2117,Sales,15,5,Medical,1,53,1,Female,146,2,4,Sales Representative,1,Married,107311,2873,6,Y,No,1,4,3,80,1,24,0,3,3,2,1,0,Yes
54,59,Travel_Rarely,2837,Research & Development,20,1,Life Sciences,1,54,4,Male,231,2,2,Research Scientist,3,Divorced,48285,19294,6,Y,Yes,3,3,2,80,2,7,0,2,10,3,6,10,No
55,22,Non-Travel,3518,Research & Development,12,2,Other,1,55,2,Female,195,1,5,Manager,1,Married,141027,4217,8,Y,No,17,1,4,80,3,2,5,2,0,1,1,1,Yes
56,22,Travel_Frequently,2386,Research & Development,27,2,Human Resources,1,56,3,Female,345,2,2,Healthcare Representative,1,Single,73209,16997,0,Y,No,9,2,1,80,1,2,2,2,2,1,2,1,Yes
57,34,Travel_Rarely,2789,Human Resources,29,4,Human Resources,1,57,1,Female,297,3,2,Manager,3,Married,179581,18302,5,Y,Yes,25,3,1,80,3,5,3,3,1,0,1,1,Yes
58,60,Non-Travel,3977,Sales,28,3,Other,1,58,2,Female,240,1,1,Sales Representative,4,Divorced,90346,15310,5,Y,No,16,2,1,80,1,38,5,4,9,7,0,2,No
59,41,Travel_Rarely,2818,Sales,25,1,Other,1,59,2,Male,371,3,4,Manager,1,Married,110362,11132,3,Y,No,3,1,2,80,3,33,3,4,11,8,1,4,No
60,31,Non-Travel,2851,Research & Development,6,4,Life Sciences,1,60,2,Female,277,1,5,Manager,4,Divorced,84862,11514,4,Y,No,5,2,3,80,4,14,0,1,9,3,2,3,Yes
61,41,Travel_Frequently,3944,Research & Development,16,5,Technical Degree,1,61,1,Female,394,1,2,Research Scientist,2,Married,160019,4430,7,Y,No,14,3,2,80,4,40,4,1,17,5,4,13,No
62,25,Travel_Frequently,4665,Research & Development,10,1,Marketing,1,62,2,Male,382,3,2,Research Scientist,3,Divorced,89724,11922,9,Y,Yes,17,1,2,80,4,37,1,3,2,0,2,2,No
63,39,Travel_Frequently,2084,Research & Development,21,2,Other,1,63,1,Female,115,4,5,Research Director,1,Married,20798,11899,7,Y,No,7,4,3,80,3,4,5,1,18,1,5,14,No
64,31,Travel_Rarely,3109,Research & Development,18,1,Marketing,1,64,3,Male,338,1,3,Manager,3,Married,169032,10123,2,Y,Yes,3,1,3,80,3,39,3,4,5,1,1,2,Yes
65,30,Non-Travel,4871,Human Resources,13,5,Technical Degree,1,65,4,Male,210,3,1,Manager,4,Single,51770,11219,7,Y,No,19,4,3,80,4,0,6,3,12,1,6,2,No
66,43,Travel_Frequently,2844,Research & Development,25,5,Marketing,1,66,3,Male,165,1,4,Healthcare Representative,2,Married,21860,13111,8,Y,No,11,2,2,80,4,32,3,3,11,8,0,0,Yes
67,39,Travel_Frequently,4028,Sales,27,3,Other,1,67,3,Female,359,4,5,Manager,2,Married,146139,17561,0,Y,No,11,3,1,80,3,37,2,3,15,0,15,8,No
68,21,Travel_Frequently,1450,Human Resources,7,1,Technical Degree,1,68,2,Female,314,2,4,Human Resources,4,Divorced,54698,8681,6,Y,No,16,4,1,80,1,33,1,2,3,2,3,3,Yes
69,47,Travel_Rarely,3285,Research & Development,10,2,Marketing,1,69,4,Female,206,4,3,Laboratory Technician,3,Married,99738,13429,8,Y,No,25,3,3,80,0,36,5,2,17,17,12,12,No
70,36,Travel_Frequently,2962,Research & Development,7,2,Other,1,70,3,Female,387,3,2,Laboratory Technician,1,Single,85400,9840,3,Y,No,1,2,2,80,0,6,3,4,1,1,1,0,No
71,18,Travel_Rarely,2315,Research & Development,10,1,Life Sciences,1,71,4,Male,373,1,2,Laboratory Technician,4,Married,116668,7760,0,Y,No,12,4,2,80,2,2,0,2,0,1,0,1,No
72,52,Non-Travel,2354,Sales,6,4,Human Resources,1,72,4,Female,195,1,3,Manager,2,Married,139476,8329,2,Y,No,19,4,4,80,4,20,0,3,16,12,3,5,No
73,38,Travel_Rarely,3385,Human Resources,24,5,Life Sciences,1,73,4,Female,284,2,1,Manager,2,Divorced,11790,5873,7,Y,Yes,9,2,4,80,4,19,5,3,7,1,4,5,No
74,26,Travel_Frequently,4381,Research & Development,7,2,Human Resources,1,74,4,Male,369,4,5,Laboratory Technician,3,Divorced,50156,13854,1,Y,No,18,1,1,80,4,32,1,4,7,2,2,5,No
75,25,Travel_Frequently,2701,Research & Development,15,5,Life Sciences,1,75,4,Female,257,1,4,Manager,1,Married,197935,2098,3,Y,No,18,1,1,80,3,22,5,1,3,0,0,0,No
76,20,Travel_Rarely,2837,Human Resources,28,4,Technical Degree,1,76,4,Male,376,2,3,Manager,2,Single,117182,7848,8,Y,Yes,12,2,2,80,0,1,2,3,1,1,1,1,No
77,47,Non-Travel,1985,Research & Development,7,1,Life Sciences,1,77,1,Male,328,1,2,Laboratory Technician,1,Divorced,50664,3449,6,Y,Yes,14,2,2,80,0,8,4,4,11,4,3,11,No
78,56,Non-Travel,3280,Research & Development,19,2,Human Resources,1,78,2,Female,384,4,1,Research Director,2,Married,72102,14489,8,Y,No,10,4,4,80,1,19,3,4,10,2,8,7,No
79,37,Travel_Rarely,1832,Sales,11,1,Technical Degree,1,79,4,Female,147,2,1,Sales Executive,4,Married,131379,14359,9,Y,No,19,1,1,80,1,37,5,2,4,4,1,3,No
80,37,Travel_Frequently,1837,Sales,13,2,Other,1,80,4,Female,244,4,4,Sales Representative,1,Divorced,65524,13772,4,Y,No,8,3,4,80,3,6,6,2,0,1,1,0,No
81,20,Non-Travel,2351,Research & Development,8,4,Other,1,81,3,Male,355,3,3,Manager,1,Married,68005,18075,7,Y,No,5,3,2,80,1,34,3,4,2,0,2,2,No
82,22,Travel_Frequently,2867,Human Resources,12,1,Other,1,82,1,Female,349,1,1,Human Resources,2,Divorced,11673,15478,0,Y,No,0,3,3,80,0,32,6,2,0,1,0,0,Yes
83,33,Travel_Rarely,2880,Human Resources,19,2,Human Resources,1,83,3,Male,253,1,1,Human Resources,3,Single,172471,15280,6,Y,No,12,4,1,80,0,10,0,4,6,3,6,3,Yes
84,54,Non-Travel,3803,Research & Development,9,5,Other,1,84,2,Male,191,3,1,Healthcare Representative,2,Single,148453,6724,6,Y,No,2,3,2,80,4,15,4,4,3,3,2,3,No
85,23,Travel_Frequently,4911,Research & Development,20,4,Marketing,1,85,2,Male,239,4,4,Laboratory Technician,4,Single,100664,13659,8,Y,Yes,12,4,2,80,4,24,0,1,4,4,2,1,Yes
86,35,Non-Travel,1021,Research & Development,10,4,Marketing,1,86,4,Female,152,2,1,Research Scientist,2,Single,109614,16122,7,Y,No,17,4,1,80,0,5,2,3,4,4,0,4,No
87,42,Non-Travel,1568,Research & Development,9,3,Marketing,1,87,2,Female,174,1,2,Healthcare Representative,1,Married,86506,11042,6,Y,No,9,4,1,80,2,16,1,2,0,1,0,1,No
88,18,Travel_Frequently,4990,Sales,20,2,Marketing,1,88,3,Female,202,4,3,Sales Representative,4,Single,97088,15049,5,Y,No,9,4,2,80,2,24,2,4,0,1,1,0,No
89,55,Travel_Rarely,4404,Human Resources,23,1,Technical Degree,1,89,4,Female,171,3,2,Human Resources,1,Married,57166,7050,6,Y,No,25,4,1,80,3,38,3,2,17,12,17,16,No
90,52,Travel_Rarely,1681,Human Resources,21,5,Life Sciences,1,90,1,Female,269,4,1,Manager,1,Single,104248,5231,4,Y,No,7,2,4,80,2,25,3,2,1,0,1,0,No
91,44,Non-Travel,3134,Research & Development,16,3,Technical Degree,1,91,3,Male,324,4,3,Healthcare Representative,2,Single,40426,11839,0,Y,No,25,1,1,80,2,6,5,3,2,0,2,0,No
92,28,Non-Travel,3623,Research & Development,22,4,Technical Degree,1,92,2,Male,201,4,5,Research Director,4,Married,156761,14741,0,Y,No,22,2,2,80,2,4,4,4,5,0,4,1,No
93,47,Travel_Frequently,1467,Research & Development,12,3,Technical Degree,1,93,3,Male,252,1,2,Laboratory Technician,4,Married,78774,5862,3,Y,No,9,1,2,80,2,9,4,4,3,3,3,1,No
94,29,Non-Travel,2288,Research & Development,27,4,Other,1,94,2,Male,283,1,4,Manager,2,Single,176592,8393,6,Y,No,17,4,4,80,3,26,5,4,7,7,7,2,No
95,32,Travel_Rarely,3251,Sales,17,1,Other,1,95,2,Male,237,3,5,Sales Executive,3,Single,18570,16462,8,Y,Yes,6,4,1,80,1,19,6,4,4,0,3,2,No
96,46,Non-Travel,4332,Research & Development,7,1,Other,1,96,4,Female,372,3,5,Research Scientist,3,Divorced,72113,7517,5,Y,Yes,22,3,3,80,4,17,6,2,3,0,1,3,No
97,59,Travel_Frequently,2608,Human Resources,16,2,Other,1,97,2,Female,312,4,4,Manager,2,Single,193874,5050,6,Y,No,16,3,3,80,3,31,2,3,4,4,0,0,No
98,58,Travel_Rarely,2099,Research & Development,11,3,Marketing,1,98,2,Male,389,4,3,Manager,4,Divorced,26601,3586,0,Y,No,3,4,1,80,0,10,3,4,11,7,0,6,No
99,26,Travel_Rarely,3721,Sales,29,2,Life Sciences,1,99,1,Female,256,2,4,Manager,3,Divorced,51674,4988,1,Y,No,0,2,4,80,0,8,4,3,4,1,4,3,No
100,39,Travel_Frequently,4301,Sales,4,1,Marketing,1,100,1,Female,253,2,4,Manager,4,Single,120707,6681,1,Y,No,16,1,2,80,3,22,5,2,3,1,1,3,No
101,31,Travel_Rarely,4240,Research & Development,5,2,Marketing,1,101,4,Male,227,3,1,Manager,1,Divorced,36336,11884,3,Y,Yes,16,2,4,80,2,3,6,3,1,0,1,1,No
102,58,Travel_Frequently,2723,Sales,12,5,Human Resources,1,102,3,Male,341,1,1,Sales Representative,1,Divorced,28615,4212,0,Y,No,8,2,1,80,0,25,4,3,19,9,16,13,Yes
103,23,Travel_Frequently,4772,Research & Development,7,2,Other,1,103,3,Female,300,1,3,Manager,2,Divorced,150657,16335,3,Y,No,1,2,1,80,3,7,3,1,5,4,4,0,No
104,25,Travel_Frequently,3118,Research & Development,26,3,Medical,1,104,2,Female,164,3,1,Laboratory Technician,1,Single,195571,12977,6,Y,Yes,8,1,3,80,4,40,0,4,0,1,1,1,No
105,28,Non-Travel,1180,Sales,28,1,Medical,1,105,1,Male,341,3,4,Manager,1,Single,51237,7864,0,Y,Yes,17,4,2,80,2,15,3,2,5,5,2,2,No
106,41,Non-Travel,4907,Research & Development,13,1,Technical Degree,1,106,2,Female,259,3,1,Research Director,1,Divorced,141607,16966,0,Y,No,11,2,3,80,4,19,5,2,3,1,3,2,No
107,30,Non-Travel,1954,Research & Development,18,3,Human Resources,1,107,2,Male,271,1,4,Manager,2,Divorced,153277,12076,1,Y,No,6,2,4,80,3,3,1,1,11,11,4,1,No
108,51,Travel_Frequently,4358,Sales,13,1,Other,1,108,1,Male,322,2,2,Sales Executive,4,Married,193722,10552,5,Y,No,25,4,3,80,2,28,2,1,13,3,1,3,No
109,24,Travel_Rarely,4951,Sales,25,2,Technical Degree,1,109,3,Female,337,3,1,Manager,4,Single,37697,7164,4,Y,Yes,22,1,2,80,2,9,0,4,1,0,1,1,Yes
110,34,Non-Travel,1497,Research & Development,1,1,Medical,1,110,2,Male,201,4,3,Healthcare Representative,4,Divorced,18147,4753,9,Y,No,18,3,1,80,0,4,1,1,5,5,3,1,No
111,25,Travel_Frequently,2747,Sales,6,3,Medical,1,111,4,Male,240,3,4,Sales Representative,4,Single,130847,3135,9,Y,Yes,19,2,3,80,3,26,4,4,0,1,0,0,Yes
112,44,Travel_Rarely,2964,Sales,18,4,Marketing,1,112,1,Female,298,3,2,Sales Executive,2,Single,178467,12448,9,Y,No,7,1,3,80,0,30,4,4,6,2,6,4,No
113,24,Non-Travel,1721,Human Resources,8,5,Marketing,1,113,2,Female,114,3,5,Human Resources,1,Divorced,182193,6656,9,Y,Yes,6,4,3,80,1,31,0,4,1,0,0,0,Yes
114,51,Travel_Rarely,1243,Research & Development,1,2,Other,1,114,2,Male,156,3,1,Research Scientist,2,Married,10179,14962,9,Y,No,3,3,3,80,2,8,1,3,15,13,15,10,No
115,57,Travel_Rarely,1521,Sales,6,1,Human Resources,1,115,4,Female,390,1,2,Manager,2,Divorced,68520,12427,9,Y,No,7,1,4,80,1,21,5,3,11,1,3,5,No
116,58,Non-Travel,3839,Human Resources,3,3,Marketing,1,116,4,Male,100,1,4,Human Resources,3,Married,195851,15751,2,Y,No,13,4,4,80,2,34,3,1,2,0,1,2,No
117,28,Non-Travel,1303,Research & Development,11,2,Technical Degree,1,117,3,Male,138,1,3,Laboratory Technician,1,Divorced,29322,17818,0,Y,No,13,2,4,80,1,3,0,1,7,5,3,3,Yes
118,52,Travel_Frequently,4440,Research & Development,16,2,Life Sciences,1,118,1,Female,101,4,1,Research Director,2,Married,183171,17739,3,Y,No,3,1,2,80,1,40,2,1,8,1,7,1,No
119,48,Travel_Rarely,1764,Research & Development,15,1,Marketing,1,119,2,Female,338,3,2,Manager,4,Married,183287,4019,2,Y,Yes,24,1,1,80,2,34,3,3,15,7,1,12,No
120,52,Travel_Frequently,1142,Research & Development,17,5,Other,1,120,3,Male,161,4,2,Manager,4,Single,160133,8943,3,Y,No,4,1,4,80,0,27,1,1,15,4,8,10,No
121,23,Non-Travel,4221,Human Resources,23,5,Other,1,121,3,Female,157,4,2,Human Resources,3,Single,155847,5283,1,Y,No,18,1,3,80,4,22,3,4,3,2,3,3,No
122,20,Travel_Rarely,3828,Research & Development,8,1,Human Resources,1,122,1,Female,237,3,1,Manager,4,Married,82198,11930,4,Y,No,8,4,1,80,1,8,2,4,0,1,1,1,No
123,59,Travel_Frequently,4241,Research & Development,6,1,Marketing,1,123,4,Female,169,1,2,Research Director,4,Single,59266,8577,0,Y,No,7,1,4,80,0,23,5,3,2,0,1,1,No
124,43,Non-Travel,4934,Research & Development,28,4,Other,1,124,3,Female,276,2,3,Research Director,2,Divorced,42472,4961,4,Y,No,0,4,1,80,1,36,6,4,20,6,7,20,No
125,35,Travel_Frequently,4280,Sales,1,2,Marketing,1,125,4,Female,240,4,4,Sales Executive,1,Married,144553,17040,4,Y,Yes,6,4,3,80,4,39,3,2,13,9,1,0,No
126,53,Travel_Rarely,3623,Research & Development,11,3,Marketing,1,126,1,Female,196,2,5,Healthcare Representative,3,Single,165653,3860,9,Y,No,12,3,2,80,0,31,2,4,20,8,13,12,Yes
127,55,Non-Travel,4443,Research & Development,22,5,Medical,1,127,4,Female,149,4,2,Research Scientist,2,Divorced,59785,10475,8,Y,No,24,2,3,80,0,14,2,3,18,7,9,13,No
128,41,Travel_Frequently,3376,Research & Development,20,1,Technical Degree,1,128,4,Male,356,1,4,Healthcare Representative,1,Divorced,163503,11776,6,Y,No,1,2,2,80,1,21,3,1,8,7,2,5,No
129,23,Travel_Rarely,1857,Research & Development,25,2,Other,1,129,3,Male,350,1,2,Laboratory Technician,2,Divorced,97196,16211,6,Y,No,12,4,4,80,3,0,0,1,3,1,2,0,Yes
130,30,Non-Travel,2571,Research & Development,17,5,Marketing,1,130,2,Male,133,1,3,Research Director,2,Married,187405,16939,8,Y,Yes,19,3,4,80,1,21,3,3,0,1,0,0,Yes
131,19,Non-Travel,1504,Human Resources,12,1,Technical Degree,1,131,2,Female,373,1,5,Manager,2,Single,68804,5542,0,Y,No,1,1,4,80,3,24,0,1,0,1,1,0,No
132,58,Non-Travel,3095,Sales,24,5,Life Sciences,1,132,3,Female,158,1,4,Manager,1,Single,88935,8545,4,Y,No,16,2,3,80,3,18,1,2,0,0,1,0,No
133,39,Non-Travel,4192,Research & Development,17,1,Human Resources,1,133,1,Male,231,2,4,Manager,1,Married,10717,10654,7,Y,Yes,1,1,2,80,0,18,2,4,7,5,6,1,Yes
134,18,Travel_Rarely,4598,Sales,24,1,Marketing,1,134,3,Female,193,1,4,Sales Executive,3,Married,183894,16959,4,Y,No,12,4,4,80,1,7,1,4,0,0,0,0,No
135,48,Travel_Frequently,4987,Research & Development,29,2,Technical Degree,1,135,3,Female,157,4,4,Research Director,4,Single,187836,4075,4,Y,No,20,3,1,80,4,36,5,1,18,18,7,10,No
136,24,Travel_Frequently,4653,Research & Development,20,1,Life Sciences,1,136,3,Male,358,4,4,Research Director,4,Single,183464,4453,7,Y,No,10,2,3,80,2,3,4,4,3,1,3,3,Yes
137,47,Travel_Rarely,4052,Research & Development,21,1,Life Sciences,1,137,4,Female,311,1,5,Research Scientist,4,Divorced,160217,2005,1,Y,No,25,3,2,80,3,21,2,3,14,13,0,13,No
138,39,Travel_Frequently,1908,Sales,1,3,Marketing,1,138,4,Female,380,3,1,Sales Representative,3,Single,172465,7379,7,Y,No,4,4,1,80,2,39,1,1,17,6,3,12,Yes
139,39,Travel_Frequently,1551,Sales,16,1,Other,1,139,4,Male,383,4,5,Sales Executive,1,Married,118650,18657,2,Y,Yes,22,2,2,80,0,24,5,4,3,2,3,3,No
